product_id,product_name,product_ref,product_price,data_scrapy
13059550,X-Ray, Men's Stretch 5 Pocket Skinny Jeans,$68.00,2022-04-06 20:43:18
13125313,COTTON ON, Men's Relaxed Tapered Jeans,$49.99,2022-04-06 20:43:18
12700735,COTTON ON, Men's Relaxed Tapered Jeans,$49.99,2022-04-06 20:43:18
11911679,Joe's Jeans, Men's The Asher Slim Jeans,$178.00,2022-04-06 20:43:18
10492515,Polo Ralph Lauren, Men's Varick Slim Straight Jeans,$98.50,2022-04-06 20:43:18
13059610,X-Ray, Men's Stretch 5 Pocket Skinny Jeans,$68.00,2022-04-06 20:43:18
13476739,COTTON ON, Men's Cropped Beckley Straight Jeans,$49.99,2022-04-06 20:43:18
12868145,COTTON ON, Men's Slim Fit Jeans,$49.99,2022-04-06 20:43:18
12319532,Flypaper, Men's Straight Leg Belted Jeans,$32.99,2022-04-06 20:43:18
13407189,Hugo Boss, BOSS Men's Grey-Cast Extra-Slim-Fit Jeans,$178.00,2022-04-06 20:43:18
14176235,RON TOMSON, Men's Modern Skull Drip Denim Jeans,$180.00,2022-04-06 20:43:18
14176211,RON TOMSON, Men's Modern Money Jeans,$180.00,2022-04-06 20:43:18
10562188,Lucky Brand, Men's 410 Slim Straight Coolmax Jeans,"$129.00
		                                                                                    



Sale $96.75",2022-04-06 20:43:18
13059584,X-Ray, Men's Stretch Distressed Skinny Jeans,$68.00,2022-04-06 20:43:18
12868152,COTTON ON, Men's Loose Fit Jeans,$49.99,2022-04-06 20:43:18
13059609,X-Ray, Men's Stretch Distressed Skinny Jeans,$68.00,2022-04-06 20:43:18
13059581,X-Ray, Men's Stretch 5 Pocket Skinny Jeans,$68.00,2022-04-06 20:43:18
11642220,Wrangler, Men's Premium Performance Cowboy Cut Straight Fit Jeans,"$55.00
		                                                                                    



Sale $48.99",2022-04-06 20:43:18
13401925,INC International Concepts," Men's Slim Straight Washed Jeans, Created for Macy's",$79.50,2022-04-06 20:43:18
14176230,RON TOMSON, Men's Modern Oiled Denim Jeans,$170.00,2022-04-06 20:43:18
14176207,RON TOMSON, Men's Modern Classic Denim Jeans,$170.00,2022-04-06 20:43:18
11642219,Wrangler, Men's Premium Performance Advanced Comfort Cowboy Cut Regular Fit Jeans,"$55.00
		                                                                                    



Now $33.00",2022-04-06 20:43:18
13059605,X-Ray, Men's Stretch Moto Jeans,$68.00,2022-04-06 20:43:18
13059595,X-Ray, Men's Stretch 5 Pocket Skinny Jeans,$68.00,2022-04-06 20:43:18
14176222,RON TOMSON, Men's Modern Paint Box Denim Jeans,$170.00,2022-04-06 20:43:18
13059577,X-Ray, Men's Stretch 5 Pocket Skinny Jeans,$68.00,2022-04-06 20:43:18
13476737,COTTON ON, Men's Cropped Beckley Straight Jeans,$49.99,2022-04-06 20:43:18
12868158,COTTON ON, Men's Super Skinny Jeans,$49.99,2022-04-06 20:43:18
12838550,True Religion, Men's Rocco Skinny Fit Jeans,"$159.00
		                                                                                    



Sale $111.30",2022-04-06 20:43:18
12102604,Levi's, Men's 501 Original Fit Jeans,"$69.50
		                                                                                    



Sale $48.65",2022-04-06 20:43:18
12868162,COTTON ON, Men's Relaxed Tapered Jeans,$49.99,2022-04-06 20:43:18
